N: 0, uva: 150.25, uvb: 0.14, uvc: 0.21, temp: 18.10
N: 2, uva: 149.59, uvb: 0.16, uvc: 0.23, temp: 18.10
N: 4, uva: 149.56, uvb: 0.16, uvc: 0.22, temp: 18.10
N: 6, uva: 149.93, uvb: 0.17, uvc: 0.24, temp: 18.10
N: 8, uva: 149.24, uvb: 0.17, uvc: 0.23, temp: 18.10
N: 10, uva: 149.41, uvb: 0.16, uvc: 0.23, temp: 18.10
N: 12, uva: 149.01, uvb: 0.15, uvc: 0.22, temp: 18.10
N: 14, uva: 149.14, uvb: 0.16, uvc: 0.22, temp: 18.10
N: 16, uva: 149.14, uvb: 0.17, uvc: 0.24, temp: 18.10
N: 18, uva: 148.98, uvb: 0.13, uvc: 0.21, temp: 18.15
N: 20, uva: 148.65, uvb: 0.16, uvc: 0.23, temp: 18.15
N: 22, uva: 149.21, uvb: 0.14, uvc: 0.21, temp: 18.15
N: 24, uva: 94.74, uvb: 0.13, uvc: 0.16, temp: 18.15
N: 26, uva: 94.87, uvb: 0.16, uvc: 0.18, temp: 18.15
N: 28, uva: 90.40, uvb: 0.14, uvc: 0.16, temp: 18.15
N: 30, uva: 91.98, uvb: 0.14, uvc: 0.16, temp: 18.10
N: 32, uva: 93.41, uvb: 0.14, uvc: 0.17, temp: 18.15
N: 34, uva: 92.65, uvb: 0.15, uvc: 0.18, temp: 18.15
N: 36, uva: 93.62, uvb: 0.15, uvc: 0.17, temp: 18.15
N: 38, uva: 92.88, uvb: 0.13, uvc: 0.16, temp: 18.15
N: 40, uva: 94.42, uvb: 0.14, uvc: 0.17, temp: 18.15
N: 42, uva: 94.30, uvb: 0.15, uvc: 0.18, temp: 18.15
N: 44, uva: 96.03, uvb: 0.14, uvc: 0.17, temp: 18.15
N: 46, uva: 96.59, uvb: 0.13, uvc: 0.16, temp: 18.15
N: 48, uva: 94.82, uvb: 0.16, uvc: 0.18, temp: 18.15
N: 50, uva: 95.53, uvb: 0.15, uvc: 0.17, temp: 18.15
N: 52, uva: 93.03, uvb: 0.13, uvc: 0.16, temp: 18.15
N: 54, uva: 147.52, uvb: 0.16, uvc: 0.23, temp: 18.15
N: 0, uva: 0.25, uvb: 0.05, uvc: 0.03, temp: 24.80
N: 2, uva: 0.24, uvb: 0.03, uvc: 0.03, temp: 24.80
N: 4, uva: 0.24, uvb: 0.03, uvc: 0.02, temp: 24.80
N: 6, uva: 0.23, uvb: 0.03, uvc: 0.02, temp: 24.80
N: 8, uva: 0.23, uvb: 0.03, uvc: 0.02, temp: 24.80
N: 10, uva: 0.23, uvb: 0.03, uvc: 0.03, temp: 24.80
N: 12, uva: 0.24, uvb: 0.03, uvc: 0.03, temp: 24.80
N: 0, uva: 0.24, uvb: 0.03, uvc: 0.02, temp: 24.10
N: 2, uva: 0.24, uvb: 0.04, uvc: 0.03, temp: 24.15
N: 0, uva: 0.25, uvb: 0.05, uvc: 0.03, temp: 24.05
N: 2, uva: 0.25, uvb: 0.04, uvc: 0.03, temp: 24.05
N: 4, uva: 0.25, uvb: 0.04, uvc: 0.03, temp: 24.00
N: 6, uva: 0.24, uvb: 0.03, uvc: 0.02, temp: 24.10
N: 8, uva: 0.24, uvb: 0.03, uvc: 0.02, temp: 24.10
N: 10, uva: 0.25, uvb: 0.04, uvc: 0.03, temp: 24.10
N: 12, uva: 0.24, uvb: 0.03, uvc: 0.02, temp: 24.05
N: 14, uva: 0.24, uvb: 0.03, uvc: 0.03, temp: 24.10
