N: 0, uva: 0.11, uvb: 0.03, uvc: 0.03, temp: 18.35
N: 2, uva: 0.13, uvb: 0.05, uvc: 0.04, temp: 18.30
N: 4, uva: 0.13, uvb: 0.05, uvc: 0.04, temp: 18.35
N: 6, uva: 0.14, uvb: 0.07, uvc: 0.06, temp: 18.35
N: 8, uva: 0.12, uvb: 0.06, uvc: 0.05, temp: 18.30
N: 10, uva: 0.13, uvb: 0.06, uvc: 0.05, temp: 18.30
N: 12, uva: 98.76, uvb: 0.09, uvc: 0.09, temp: 18.30
N: 14, uva: 98.69, uvb: 0.10, uvc: 0.10, temp: 18.30
N: 16, uva: 98.78, uvb: 0.10, uvc: 0.10, temp: 18.30
N: 18, uva: 98.50, uvb: 0.10, uvc: 0.10, temp: 18.30
N: 20, uva: 98.59, uvb: 0.10, uvc: 0.10, temp: 18.30
N: 22, uva: 98.75, uvb: 0.10, uvc: 0.10, temp: 18.35
N: 24, uva: 98.56, uvb: 0.10, uvc: 0.11, temp: 18.35
N: 26, uva: 98.44, uvb: 0.14, uvc: 0.13, temp: 18.30
N: 28, uva: 98.59, uvb: 0.10, uvc: 0.11, temp: 18.35
N: 30, uva: 98.65, uvb: 0.10, uvc: 0.11, temp: 18.35
N: 32, uva: 98.41, uvb: 0.10, uvc: 0.10, temp: 18.35
N: 34, uva: 98.36, uvb: 0.10, uvc: 0.10, temp: 18.35
N: 36, uva: 98.37, uvb: 0.10, uvc: 0.11, temp: 18.35
N: 38, uva: 98.46, uvb: 0.09, uvc: 0.10, temp: 18.35
N: 40, uva: 98.48, uvb: 0.11, uvc: 0.11, temp: 18.30
N: 42, uva: 98.29, uvb: 0.09, uvc: 0.10, temp: 18.30
N: 44, uva: 98.13, uvb: 0.12, uvc: 0.12, temp: 18.30
N: 46, uva: 98.08, uvb: 0.10, uvc: 0.10, temp: 18.30
N: 48, uva: 98.19, uvb: 0.09, uvc: 0.10, temp: 18.30
N: 50, uva: 98.12, uvb: 0.09, uvc: 0.09, temp: 18.35
N: 52, uva: 50.32, uvb: 0.07, uvc: 0.07, temp: 18.30
N: 54, uva: 80.96, uvb: 0.09, uvc: 0.09, temp: 18.30
N: 56, uva: 82.69, uvb: 0.09, uvc: 0.09, temp: 18.35
N: 58, uva: 59.25, uvb: 0.09, uvc: 0.08, temp: 18.35
N: 60, uva: 55.39, uvb: 0.07, uvc: 0.07, temp: 18.35
N: 62, uva: 82.33, uvb: 0.09, uvc: 0.09, temp: 18.35
N: 64, uva: 82.46, uvb: 0.09, uvc: 0.10, temp: 18.35
N: 66, uva: 82.50, uvb: 0.09, uvc: 0.09, temp: 18.35
N: 68, uva: 82.37, uvb: 0.10, uvc: 0.10, temp: 18.35
N: 70, uva: 82.45, uvb: 0.09, uvc: 0.10, temp: 18.35
N: 72, uva: 82.23, uvb: 0.09, uvc: 0.09, temp: 18.35
N: 74, uva: 82.27, uvb: 0.10, uvc: 0.10, temp: 18.35
N: 76, uva: 82.31, uvb: 0.09, uvc: 0.09, temp: 18.35
N: 78, uva: 82.01, uvb: 0.09, uvc: 0.09, temp: 18.35
N: 80, uva: 82.12, uvb: 0.09, uvc: 0.09, temp: 18.40
N: 82, uva: 82.23, uvb: 0.09, uvc: 0.09, temp: 18.40
